Endpoint node name,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Type
System Administrator Terminal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Server
Virtualization Manager Server,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Server
Virtualization Manager SAN Archive,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Networking
Cybersecurity Capability & Tools server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Server
Cybersecurity Capability & Tools SAN Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Networking
Audit Log Server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Server
Audit Log SAN Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Networking
"Server Rack, Server #1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Server
"Server Rack, Server #2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Server
"Server Rack, Server #3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Server
"Server Rack, Server #4",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,Server
"Server Rack, Server #5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Server
"Server Rack, Server #6",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Server
"Server Rack, Server #7",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Server
"Server Rack, Server #8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Server
"Server Rack, Server #9",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,Server
"Server Rack, Server #10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Server
"Server Rack, Server #11",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Server
"Server Rack, Server #12",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Server
Engineering & Production SAN 1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Networking
Engineering & Production SAN Archive 1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Networking
Engineering & Production SAN 2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Networking
Engineering & Production SAN Archive 2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Networking
Engineering & Production SAN 3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Networking
Test SAN,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,Networking
Test SAN Archive,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,Networking
Company Management SAN,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Networking
Company Management SAN Archive,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Networking
Engineering Workstation 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Workstation
Engineering Workstation 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Workstation
Engineering Workstation 3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Workstation
Production Workstation 1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Workstation
Production Workstation 2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Workstation
Test Engineering Laptop 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Workstation
Test Engineering Laptop 2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Workstation
Company Management Workstation 1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Workstation
Company Management Workstation 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Workstation
Internet,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,Networking
Firewall,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,Networking
Router,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,Networking
Layer 2 Switches (Ethernet) 1,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,Networking
Layer 2 Switches (Ethernet) 2,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,Networking
Layer 2 Switches (Ethernet) 3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,Networking
Layer 2 Switches (Ethernet) 4,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,Networking
Layer 2 Switches (Ethernet) 5,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,Networking
Layer 2 Switches (Ethernet) 6,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,Networking
